date,State,Type,Confirmed
Apr 1 2014,Western Australia,A and B,0
Apr 1 2014,Western Australia,Untyped,0
May 1 2014,New South Wales,A(H1N1)pdm09,24
May 1 2014,New South Wales,A(H3N2),26
May 1 2014,New South Wales,A(unsubtyped),152
May 1 2014,New South Wales,B,63
May 1 2014,New South Wales,C,0
May 1 2014,New South Wales,A and B,6
May 1 2014,New South Wales,Untyped,1
May 1 2014,Northern Territory,A(H1N1)pdm09,0
May 1 2014,Northern Territory,A(H3N2),3
May 1 2014,Northern Territory,A(unsubtyped),6
May 1 2014,Northern Territory,B,3
May 1 2014,Northern Territory,C,0
May 1 2014,Northern Territory,A and B,0
May 1 2014,Northern Territory,Untyped,0
May 1 2014,Queensland,A(H1N1)pdm09,143
May 1 2014,Queensland,A(H3N2),10
May 1 2014,Queensland,A(unsubtyped),259
May 1 2014,Queensland,B,108
May 1 2014,Queensland,C,0
May 1 2014,Queensland,A and B,0
May 1 2014,Queensland,Untyped,0
May 1 2014,South Australia,A(H1N1)pdm09,4
May 1 2014,South Australia,A(H3N2),0
May 1 2014,South Australia,A(unsubtyped),84
May 1 2014,South Australia,B,49
May 1 2014,South Australia,C,0
May 1 2014,South Australia,A and B,0
May 1 2014,South Australia,Untyped,0
May 1 2014,Tasmania,A(H1N1)pdm09,4
May 1 2014,Tasmania,A(H3N2),0
May 1 2014,Tasmania,A(unsubtyped),13
May 1 2014,Tasmania,B,4
May 1 2014,Tasmania,C,0
May 1 2014,Tasmania,A and B,0
May 1 2014,Tasmania,Untyped,0
May 1 2014,Victoria,A(H1N1)pdm09,44
May 1 2014,Victoria,A(H3N2),0
May 1 2014,Victoria,A(unsubtyped),217
May 1 2014,Victoria,B,30
May 1 2014,Victoria,C,1
May 1 2014,Victoria,A and B,2
May 1 2014,Victoria,Untyped,0
May 1 2014,Western Australia,A(H1N1)pdm09,33
May 1 2014,Western Australia,A(H3N2),18
May 1 2014,Western Australia,A(unsubtyped),60
May 1 2014,Western Australia,B,29
May 1 2014,Western Australia,C,0
May 1 2014,Western Australia,A and B,0
May 1 2014,Western Australia,Untyped,0
Jun 1 2014,New South Wales,A(H1N1)pdm09,51
Jun 1 2014,New South Wales,A(H3N2),140
Jun 1 2014,New South Wales,A(unsubtyped),179
Jun 1 2014,New South Wales,B,73
Jun 1 2014,New South Wales,C,0
Jun 1 2014,New South Wales,A and B,11
Jun 1 2014,New South Wales,Untyped,2
Jun 1 2014,Northern Territory,A(H1N1)pdm09,2
Jun 1 2014,Northern Territory,A(H3N2),0
Jun 1 2014,Northern Territory,A(unsubtyped),4
Jun 1 2014,Northern Territory,B,5
Jun 1 2014,Northern Territory,C,0
Jun 1 2014,Northern Territory,A and B,0
Jun 1 2014,Northern Territory,Untyped,0
Jun 1 2014,Queensland,A(H1N1)pdm09,166
Jun 1 2014,Queensland,A(H3N2),6
Jun 1 2014,Queensland,A(unsubtyped),270
Jun 1 2014,Queensland,B,81
Jun 1 2014,Queensland,C,0
Jun 1 2014,Queensland,A and B,0
Jun 1 2014,Queensland,Untyped,0
Jun 1 2014,South Australia,A(H1N1)pdm09,8
Jun 1 2014,South Australia,A(H3N2),0
Jun 1 2014,South Australia,A(unsubtyped),193
Jun 1 2014,South Australia,B,22
Jun 1 2014,South Australia,C,0
Jun 1 2014,South Australia,A and B,0
Jun 1 2014,South Australia,Untyped,0
Jun 1 2014,Tasmania,A(H1N1)pdm09,21
Jun 1 2014,Tasmania,A(H3N2),1
Jun 1 2014,Tasmania,A(unsubtyped),12
Jun 1 2014,Tasmania,B,3
Jun 1 2014,Tasmania,C,0
Jun 1 2014,Tasmania,A and B,0
Jun 1 2014,Tasmania,Untyped,0
Jun 1 2014,Victoria,A(H1N1)pdm09,66
Jun 1 2014,Victoria,A(H3N2),0
Jun 1 2014,Victoria,A(unsubtyped),307
Jun 1 2014,Victoria,B,28
Jun 1 2014,Victoria,C,0
Jun 1 2014,Victoria,A and B,0
Jun 1 2014,Victoria,Untyped,0
Jun 1 2014,Western Australia,A(H1N1)pdm09,66
Jun 1 2014,Western Australia,A(H3N2),21
Jun 1 2014,Western Australia,A(unsubtyped),50
Jun 1 2014,Western Australia,B,35
Jun 1 2014,Western Australia,C,0
Jun 1 2014,Western Australia,A and B,0
Jun 1 2014,Western Australia,Untyped,0
Jul 1 2014,New South Wales,A(H1N1)pdm09,260
Jul 1 2014,New South Wales,A(H3N2),606
Jul 1 2014,New South Wales,A(unsubtyped),1480
Jul 1 2014,New South Wales,B,201
Jul 1 2014,New South Wales,C,0
Jul 1 2014,New South Wales,A and B,1
Jul 1 2014,New South Wales,Untyped,0
Jul 1 2014,Northern Territory,A(H1N1)pdm09,4
Jul 1 2014,Northern Territory,A(H3N2),3
Jul 1 2014,Northern Territory,A(unsubtyped),18
Jul 1 2014,Northern Territory,B,3
Jul 1 2014,Northern Territory,C,0
Jul 1 2014,Northern Territory,A and B,0
Jul 1 2014,Northern Territory,Untyped,0
Jul 1 2014,Queensland,A(H1N1)pdm09,351
Jul 1 2014,Queensland,A(H3N2),36
Jul 1 2014,Queensland,A(unsubtyped),1109
Jul 1 2014,Queensland,B,185
Jul 1 2014,Queensland,C,0
