Dates,States,Cases
May 1 2017,South Australia,410
May 1 2017,Tasmania,32
May 1 2017,Victoria,474
May 1 2017,Western Australia,142
Jun 1 2017,New South Wales,3249
Jun 1 2017,Northern Territory,26
Jun 1 2017,Queensland,1892
Jun 1 2017,South Australia,1213
Jun 1 2017,Tasmania,68
Jun 1 2017,Victoria,1349
Jun 1 2017,Western Australia,280
Jul 1 2017,New South Wales,13117
Jul 1 2017,Northern Territory,55
Jul 1 2017,Queensland,4482
Jul 1 2017,South Australia,2832
Jul 1 2017,Tasmania,281
Jul 1 2017,Victoria,5007
Jul 1 2017,Western Australia,513
Aug 1 2017,New South Wales,43087
Aug 1 2017,Northern Territory,240
Aug 1 2017,Queensland,19254
Aug 1 2017,South Australia,5582
Aug 1 2017,Tasmania,955
Aug 1 2017,Victoria,13739
Aug 1 2017,Western Australia,1006
Sep 1 2017,New South Wales,35039
Sep 1 2017,Northern Territory,377
Sep 1 2017,Queensland,21111
Sep 1 2017,South Australia,12681
Sep 1 2017,Tasmania,1688
Sep 1 2017,Victoria,21394
Sep 1 2017,Western Australia,2035
Oct 1 2017,New South Wales,4485
Oct 1 2017,Northern Territory,165
Oct 1 2017,Queensland,3472
Oct 1 2017,South Australia,3382
Oct 1 2017,Tasmania,253
Oct 1 2017,Victoria,4046
Oct 1 2017,Western Australia,861
Nov 1 2017,New South Wales,632
Nov 1 2017,Northern Territory,52
Nov 1 2017,Queensland,1139
Nov 1 2017,South Australia,820
Nov 1 2017,Tasmania,62
Nov 1 2017,Victoria,610
Nov 1 2017,Western Australia,385
Des 1 2017,New South Wales,509
Des 1 2017,Northern Territory,30
Des 1 2017,Queensland,925
Des 1 2017,South Australia,384
Des 1 2017,Tasmania,32
Des 1 2017,Victoria,232
Des 1 2017,Western Australia,275
Jan 1 2018,New South Wales,1078
Jan 1 2018,Northern Territory,35
Jan 1 2018,Queensland,947
Jan 1 2018,South Australia,318
Jan 1 2018,Tasmania,15
Jan 1 2018,Victoria,552
Jan 1 2018,Western Australia,224
Feb 1 2018,New South Wales,1164
Feb 1 2018,Northern Territory,20
Feb 1 2018,Queensland,1037
Feb 1 2018,South Australia,341
Feb 1 2018,Tasmania,23
Feb 1 2018,Victoria,533
Feb 1 2018,Western Australia,344
Mar 1 2018,New South Wales,1083
Mar 1 2018,Northern Territory,37
Mar 1 2018,Queensland,1368
Mar 1 2018,South Australia,394
Mar 1 2018,Tasmania,31
Mar 1 2018,Victoria,542
Mar 1 2018,Western Australia,297
Apr 1 2018,New South Wales,433
Apr 1 2018,Northern Territory,8
Apr 1 2018,Queensland,697
Apr 1 2018,South Australia,189
Apr 1 2018,Tasmania,18
Apr 1 2018,Victoria,358
Apr 1 2018,Western Australia,156
May 1 2018,New South Wales,390
May 1 2018,Northern Territory,15
May 1 2018,Queensland,519
May 1 2018,South Australia,111
May 1 2018,Tasmania,12
May 1 2018,Victoria,300
May 1 2018,Western Australia,180
Jun 1 2018,New South Wales,642
Jun 1 2018,Northern Territory,9
Jun 1 2018,Queensland,612
Jun 1 2018,South Australia,122
Jun 1 2018,Tasmania,27
Jun 1 2018,Victoria,305
Jun 1 2018,Western Australia,467
Jul 1 2018,New South Wales,1250
Jul 1 2018,Northern Territory,3
Jul 1 2018,Queensland,866
Jul 1 2018,South Australia,158
Jul 1 2018,Tasmania,21
Jul 1 2018,Victoria,401
Jul 1 2018,Western Australia,689
Aug 1 2018,New South Wales,3829
Aug 1 2018,Northern Territory,17
Aug 1 2018,Queensland,2142
Aug 1 2018,South Australia,338
Aug 1 2018,Tasmania,33
Aug 1 2018,Victoria,1096
Aug 1 2018,Western Australia,970
Sep 1 2018,New South Wales,4091
Sep 1 2018,Northern Territory,29
Sep 1 2018,Queensland,2429
Sep 1 2018,South Australia,1026
Sep 1 2018,Tasmania,76
Sep 1 2018,Victoria,2267
Sep 1 2018,Western Australia,1112
Oct 1 2018,New South Wales,1520
Oct 1 2018,Northern Territory,36
Oct 1 2018,Queensland,1502
Oct 1 2018,South Australia,1072
Oct 1 2018,Tasmania,86
Oct 1 2018,Victoria,2166
Oct 1 2018,Western Australia,630
Nov 1 2018,New South Wales,1007
Nov 1 2018,Northern Territory,282
Nov 1 2018,Queensland,1545
Nov 1 2018,South Australia,1209
Nov 1 2018,Tasmania,71
Nov 1 2018,Victoria,1774
Nov 1 2018,Western Australia,401
Des 1 2018,New South Wales,903
Des 1 2018,Northern Territory,666
Des 1 2018,Queensland,1798
Des 1 2018,South Australia,592
Des 1 2018,Tasmania,36
Des 1 2018,Victoria,1368
Des 1 2018,Western Australia,365
Jan 1 2019,New South Wales,1726
Jan 1 2019,Northern Territory,150
Jan 1 2019,Queensland,1920
Jan 1 2019,South Australia,401
Jan 1 2019,Tasmania,55
Jan 1 2019,Victoria,1248
Jan 1 2019,Western Australia,527
Feb 1 2019,New South Wales,2292
Feb 1 2019,Northern Territory,70
Feb 1 2019,Queensland,1968
Feb 1 2019,South Australia,747
Feb 1 2019,Tasmania,55
Feb 1 2019,Victoria,1153
Feb 1 2019,Western Australia,500
Mar 1 2019,New South Wales,3432
Mar 1 2019,Northern Territory,106
Mar 1 2019,Queensland,2859
Mar 1 2019,South Australia,2512
Mar 1 2019,Tasmania,175
Mar 1 2019,Victoria,2274
Mar 1 2019,Western Australia,507
Apr 1 2019,New South Wales,2981
Apr 1 2019,Northern Territory,248
Apr 1 2019,Queensland,2820
Apr 1 2019,South Australia,5838
Apr 1 2019,Tasmania,348
Apr 1 2019,Victoria,3744
Apr 1 2019,Western Australia,478
May 1 2019,New South Wales,7920
May 1 2019,Northern Territory,282
May 1 2019,Queensland,3609
May 1 2019,South Australia,8409
May 1 2019,Tasmania,357
May 1 2019,Victoria,8167
May 1 2019,Western Australia,3534
Jun 1 2019,New South Wales,21375
Jun 1 2019,Northern Territory,144
Jun 1 2019,Queensland,7795
Jun 1 2019,South Australia,2439
Jun 1 2019,Tasmania,367
Jun 1 2019,Victoria,11172
Jun 1 2019,Western Australia,10012
Jul 1 2019,New South Wales,29697
Jul 1 2019,Northern Territory,143
Jul 1 2019,Queensland,11322
Jul 1 2019,South Australia,1694
Jul 1 2019,Tasmania,509
Jul 1 2019,Victoria,13830
Jul 1 2019,Western Australia,5335
Aug 1 2019,New South Wales,29845
Aug 1 2019,Northern Territory,159
Aug 1 2019,Queensland,22091
Aug 1 2019,South Australia,1617
Aug 1 2019,Tasmania,609
Aug 1 2019,Victoria,13481
Aug 1 2019,Western Australia,1295
Sep 1 2019,New South Wales,11989
Sep 1 2019,Northern Territory,132
Sep 1 2019,Queensland,10509
Sep 1 2019,South Australia,1451
Sep 1 2019,Tasmania,352
Sep 1 2019,Victoria,8838
Sep 1 2019,Western Australia,420
Oct 1 2019,New South Wales,2595
Oct 1 2019,Northern Territory,75
Oct 1 2019,Queensland,2089
Oct 1 2019,South Australia,849
Oct 1 2019,Tasmania,158
Oct 1 2019,Victoria,3054
Oct 1 2019,Western Australia,201
Nov 1 2019,New South Wales,1433
Nov 1 2019,Northern Territory,68
Nov 1 2019,Queensland,806
Nov 1 2019,South Australia,674
Nov 1 2019,Tasmania,98
Nov 1 2019,Victoria,1331
Nov 1 2019,Western Australia,220
Des 1 2019,New South Wales,1124
Des 1 2019,Northern Territory,180
Des 1 2019,Queensland,539
Des 1 2019,South Australia,456
Des 1 2019,Tasmania,49
Des 1 2019,Victoria,1181
Des 1 2019,Western Australia,215
Jan 1 2020,New South Wales,210
Jan 1 2020,Northern Territory,20
Jan 1 2020,Queensland,140
Jan 1 2020,South Australia,43
Jan 1 2020,Tasmania,9
Jan 1 2020,Victoria,239
Jan 1 2020,Western Australia,48
